yelp_id,name,category,price_range,address,neighborhood,info,Claimed?,website,phone,working_hours,ratings,reviews,HasWebsite,first_review,last_review,permanently_closed,1_star,2_star,3_star,4_star,5_star,AvgLast_compound,AvgLast_star,AvgLast_subjectivity,Last_compound_coef,Last_compound_intrcpt,Last_star_coef,Last_star_intrcpt,Last_subjectivity_coef,Last_subjectivity_intrcpt,avg_reviews,avg_star,between,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon1,Tue1,Wed1,Thu1,Fri1,Sat1,Sun1,dollar_signs,Accepts Credit Cards,Good for Groups,Good for Kids,Takes Reservations,Outdoor Seating,Take-out,Delivery,Has TV,Attire,Parking,Alcohol,Noise Level,Wi-Fi,probability,ratings_notation,address1,address2
saigon-sisters-chicago,Saigon Sisters,"Vietnamese, Vegan, Vegetarian",Under $10,"131 N Clinton St Chicago, IL 60661","West Loop, Near West Side","{'Takes Reservations': 'No', 'Delivery': 'Yes', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Android Pay': 'No', 'Parking': 'Garage, Street, Private Lot, Validated', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Alcohol': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'No', 'Caters': 'Yes', 'Gender Neutral Restrooms': 'Yes'}",1,http://www.saigonsisters.com,(312) 496-0094,"{'Mon': ['11:00 am - 2:00 pm'], 'Tue': ['11:00 am - 9:00 pm'], 'Wed': ['11:00 am - 9:00 pm'], 'Thu': ['11:00 am - 9:00 pm'], 'Fri': ['11:00 am - 10:00 pm'], 'Sat': ['5:00 pm - 10:00 pm'], 'Sun': ['Closed']}",3.0,163.0,1,2009-12-07 00:00:00,2010-04-09 00:00:00,0,0,0,0,2,1,0.8888999999999999,4.333333333333333,0.4817956148789482,0.0030236514522821558,0.8546319502074688,0.03215767634854772,3.968879668049792,0.001064925459894338,0.4697264596668124,1.5,4.333333333333333,b/t Washington Blvd & Randolph St,11:00 am - 2:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 10:00 pm,5:00 pm - 10:00 pm,Closed,,,,,,,,$,Yes,Yes,Yes,No,No,Yes,Yes,No,Casual,"Garage, Street, Private Lot, Validated",No,Average,No,90%,3,131 N Clinton St,"Chicago, IL 60661"
essence-of-india-chicago,Essence of India,"Indian, Pakistani",$11-30,"4601 N Lincoln Ave Chicago, IL 60625","Ravenswood, Lincoln Square","{'Takes Reservations': 'Yes', 'Delivery': 'Yes', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Android Pay': 'No', 'Accepts Bitcoin': 'No', 'Parking': 'Street', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Outdoor Seating': 'Yes', 'Wi-Fi': 'No', 'Has TV': 'Yes', 'Caters': 'Yes'}",1,http://essenceofindiachicago.com/,(773) 506-0002,"{'Mon': ['5:00 pm - 9:30 pm'], 'Tue': ['Closed'], 'Wed': ['5:00 pm - 9:30 pm'], 'Thu': ['5:00 pm - 9:30 pm'], 'Fri': ['12:00 pm - 10:30 pm'], 'Sat': ['12:00 pm - 10:30 pm'], 'Sun': ['12:00 pm - 10:30 pm']}",3.5,310.0,1,2006-04-21 00:00:00,2017-08-19 00:00:00,0,33,43,48,106,74,0.7665466666666666,3.933333333333333,0.6141138870725918,-0.0014926026611834955,0.9153093985646216,-0.004665968089523321,4.398374819589158,0.00014758585239107902,0.5994044971176143,25.33333333333333,3.4769736842105265,b/t Eastwood Ave & Wilson Ave,5:00 pm - 9:30 pm,Closed,5:00 pm - 9:30 pm,5:00 pm - 9:30 pm,12:00 pm - 10:30 pm,12:00 pm - 10:30 pm,12:00 pm - 10:30 pm,,,,,,,,$$,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Casual,Street,Full Bar,Average,No,90%,3-half,4601 N Lincoln Ave,"Chicago, IL 60625"
jubilee-juice-and-grill-chicago,Jubilee Juice & Grill,"Juice Bars & Smoothies, Burgers, Seafood",$11-30,"140 N Halsted St Chicago, IL 60661","West Loop, Near West Side","{'Takes Reservations': 'No', 'Delivery': 'Yes', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Good For': 'Lunch', 'Parking': 'Street', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'No', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Alcohol': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'No', 'Caters': 'Yes'}",1,http://www.jubileejuice.com,(312) 491-8500,"{'Mon': ['7:00 am - 4:00 am'], 'Tue': ['7:00 am - 4:00 am'], 'Wed': ['7:00 am - 4:00 am'], 'Thu': ['7:00 am - 4:00 am'], 'Fri': ['7:00 am - 5:00 am'], 'Sat': ['7:00 am - 5:00 am'], 'Sun': ['11:00 am - 10:00 pm']}",4.0,352.0,1,2005-07-12 00:00:00,2017-08-29 00:00:00,0,18,10,31,116,150,0.7590205128205125,4.641025641025641,0.6584377582294251,0.0004716106927166098,0.709138612629333,-0.00016401785112916655,4.658373682971996,-0.0005718544088756234,0.7189223591681928,25.0,4.138461538461539,b/t Randolph St & Court Pl,7:00 am - 4:00 am,7:00 am - 4:00 am,7:00 am - 4:00 am,7:00 am - 4:00 am,7:00 am - 5:00 am,7:00 am - 5:00 am,11:00 am - 10:00 pm,,,,,,,,$$,Yes,No,Yes,No,No,Yes,Yes,No,Casual,Street,No,Average,Free,90%,4,140 N Halsted St,"Chicago, IL 60661"
diner-grill-chicago,Diner Grill,Diners,Under $10,"1635 W Irving Park Rd Chicago, IL 60613",Lakeview,"{'Takes Reservations': 'No', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Android Pay': 'No', 'Parking': 'Street', 'Bike Parking': 'Yes', 'Good for Kids': 'No', 'Good for Groups': 'No', 'Attire': 'Casual', 'Ambience': 'Divey', 'Noise Level': 'Average', 'Alcohol': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'Yes', 'Caters': 'No'}",1,,(773) 248-2030,{},4.0,212.0,0,2005-08-18 00:00:00,2017-03-04 00:00:00,1,11,9,28,64,94,0.8913500000000001,4.5,0.5558464177577954,-0.0008478603498218677,0.9658910557551726,0.0038782043609124,4.159041199936452,0.0004355701114026532,0.5175525454636455,17.166666666666668,4.072815533980583,b/t Ashland Ave & Marshfield Ave,,,,,,,,,,,,,,,$,Yes,No,No,No,No,Yes,No,Yes,Casual,Street,No,Average,No,90%,4,1635 W Irving Park Rd,"Chicago, IL 60613"
the-levee-chicago,The Levee,"Bars, American (New)",Under $10,"4035 W Fullerton Ave Chicago, IL 60639",Hermosa,"{'Takes Reservations': 'No', 'Delivery': 'No', 'Take-out': 'No', 'Accepts Credit Cards': 'No', 'Accepts Bitcoin': 'No', 'Parking': 'Street', 'Bike Parking': 'Yes', 'Good for Kids': 'No', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Divey', 'Noise Level': 'Average', 'Alcohol': 'Full Bar', 'Outdoor Seating': 'No', 'Wi-Fi': 'Free', 'Has TV': 'Yes', 'Caters': 'Yes', 'Has Pool Table': 'Yes'}",1,http://daleveechicago.com/index.html,(773) 342-2808,"{'Mon': ['4:00 pm - 2:00 am'], 'Tue': ['4:00 pm - 2:00 am'], 'Wed': ['4:00 pm - 2:00 am'], 'Thu': ['4:00 pm - 2:00 am'], 'Fri': ['4:00 pm - 2:00 am'], 'Sat': ['4:00 pm - 3:00 am'], 'Sun': ['4:00 pm - 12:00 am']}",4.0,19.0,1,2007-06-07 00:00:00,2017-07-30 00:00:00,0,0,1,3,5,9,0.6369,4.0,0.4,0.0,0.6369,0.0,4.0,0.0,0.4,1.8,4.222222222222221,b/t Keystone Ave & Karlov Ave,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 3:00 am,4:00 pm - 12:00 am,,,,,,,,$,No,Yes,No,No,No,No,No,Yes,Casual,Street,Full Bar,Average,Free,90%,4,4035 W Fullerton Ave,"Chicago, IL 60639"
maggianos-little-italy-chicago,Maggiano’s Little Italy,"Italian, Bars",$11-30,"516 N Clark St Chicago, IL 60654","River North, Near North Side","{'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'Yes', 'Accepts Android Pay': 'Yes', 'Good For': 'Dinner', 'Parking': 'Valet', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Good For Dancing': 'No', 'Alcohol': 'Full Bar', 'Best Nights': 'Fri, Sat, Sun', 'Coat Check': 'Yes', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'No', 'Waiter Service': 'Yes', 'Caters': 'Yes', 'Has Pool Table': 'No'}",1,http://locations.maggianos.com/us/illinois/chicago/,(312) 644-7700,"{'Mon': ['11:30 am - 10:00 pm'], 'Tue': ['11:30 am - 10:00 pm'], 'Wed': ['11:30 am - 10:00 pm'], 'Thu': ['11:30 am - 10:00 pm'], 'Fri': ['11:30 am - 11:00 pm'], 'Sat': ['11:30 am - 11:00 pm'], 'Sun': ['11:30 am - 10:00 pm']}",4.0,584.0,1,2005-07-12 00:00:00,2017-09-02 00:00:00,0,39,51,104,176,190,0.8257200000000001,4.16,0.5946498467148134,0.00037215961300868217,0.7926945559416095,-0.004761266105375481,4.5825147541910205,-0.000432614377899499,0.633040046609615,43.07692307692307,3.7625,,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 10:00 pm,,,,,,,,$$,Yes,Yes,Yes,Yes,No,Yes,No,No,Casual,Valet,Full Bar,Average,No,90%,4,516 N Clark St,"Chicago, IL 60654"
di-vitas-pizzeria-chicago,Di Vita’s Pizzeria,"Pizza, Italian",Under $10,"3753 W Belmont Ave Chicago, IL 60618",Avondale,"{'Takes Reservations': 'Yes', 'Delivery': 'Yes', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Parking': 'Street', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Quiet', 'Alcohol': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'Yes', 'Caters': 'Yes'}",1,,(773) 588-5868,"{'Mon': ['4:00 pm - 12:00 am'], 'Tue': ['4:00 pm - 12:00 am'], 'Wed': ['4:00 pm - 12:00 am'], 'Thu': ['4:00 pm - 12:00 am'], 'Fri': ['4:00 pm - 1:00 am'], 'Sat': ['4:00 pm - 1:00 am'], 'Sun': ['2:00 pm - 12:00 am']}",3.5,71.0,0,2007-02-28 00:00:00,2017-08-31 00:00:00,0,10,4,9,26,20,0.7090166666666669,4.25,0.6644549309622839,0.002849870782081207,0.5667606167944466,0.008607337161692818,3.820350420012167,0.0006518435452050706,0.6319170739974641,6.2727272727272725,3.608695652173913,b/t Hamlin Ave & Ridgeway Ave,4:00 pm - 12:00 am,4:00 pm - 12:00 am,4:00 pm - 12:00 am,4:00 pm - 12:00 am,4:00 pm - 1:00 am,4:00 pm - 1:00 am,2:00 pm - 12:00 am,,,,,,,,$,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Casual,Street,No,Quiet,No,90%,3-half,3753 W Belmont Ave,"Chicago, IL 60618"
rylons-smokehouse-chicago,Rylon’s Smokehouse,Smokehouse,Moderate,"67 E Cermak Rd Chicago, IL 60616",Near Southside,"{'Take-out': 'No', 'Accepts Credit Cards': 'No', 'Parking': 'Street', 'Bike Parking': 'No', 'Caters': 'No'}",1,http://www.RylonsSmokehouse.com,(312) 794-5901,{},3.0,59.0,1,2016-10-19 00:00:00,2017-07-29 00:00:00,1,16,6,8,12,8,0.3933675675675676,2.5675675675675675,0.5994645550812592,-0.002257383782051475,0.5731651352893432,-0.010579744436823543,3.410229915008621,-0.0005103433273200191,0.6401127114491537,25.0,2.8,b/t Federal St & Michigan Ave,,,,,,,,,,,,,,,$$,No,,,,,No,,,,Street,,,,90%,3,67 E Cermak Rd,"Chicago, IL 60616"
siam-noodle-and-rice-chicago,Siam Noodle and Rice,Thai,Under $10,"4142 N Broadway St Chicago, IL 60613",Uptown,"{'Takes Reservations': 'No', 'Delivery': 'Yes', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Android Pay': 'No', 'Good For': 'Lunch, Dinner', 'Parking': 'Street', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Alcohol': 'No', 'Outdoor Seating': 'No', 'Wi-Fi': 'No', 'Has TV': 'No', 'Caters': 'No'}",0,http://www.siamnoodleandrice.com,(773) 769-6694,"{'Mon': ['Closed'], 'Tue': ['11:00 am - 9:00 pm'], 'Wed': ['11:00 am - 9:00 pm'], 'Thu': ['11:00 am - 9:00 pm'], 'Fri': ['11:00 am - 9:30 pm'], 'Sat': ['11:30 am - 9:30 pm'], 'Sun': ['11:30 am - 8:00 pm']}",4.0,375.0,1,2005-07-12 00:00:00,2017-08-18 00:00:00,0,19,14,36,101,189,0.68528,4.2,0.5789658268145109,-0.0005440031444960973,0.7304866613076257,0.0024765862120938987,3.9941956857749967,0.0006846231941890122,0.5220736393774041,27.615384615384613,4.1894150417827305,b/t Buena Ave & Gordon Ter,Closed,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 8:00 pm,,,,,,,,$,Yes,Yes,Yes,No,No,Yes,Yes,No,Casual,Street,No,Average,No,90%,4,4142 N Broadway St,"Chicago, IL 60613"
fork-chicago-2,Fork,"American (New), Breakfast & Brunch, Wine Bars",$11-30,"4600 N Lincoln Ave Chicago, IL 60625","Ravenswood, Lincoln Square","{'Takes Reservations': 'Yes', 'Delivery': 'No', 'Take-out': 'Yes', 'Accepts Credit Cards': 'Yes', 'Accepts Apple Pay': 'No', 'Accepts Android Pay': 'No', 'Good For': 'Dinner', 'Parking': 'Street', 'Bike Parking': 'Yes', 'Good for Kids': 'Yes', 'Good for Groups': 'Yes', 'Attire': 'Casual', 'Ambience': 'Casual', 'Noise Level': 'Average', 'Music': 'Background', 'Good For Dancing': 'No', 'Alcohol': 'Full Bar', 'Outdoor Seating': 'Yes', 'Wi-Fi': 'No', 'Has TV': 'Yes', 'Caters': 'Yes'}",1,http://www.forkchicago.net/,(773) 751-1500,"{'Mon': ['5:00 pm - 11:00 pm'], 'Tue': ['5:00 pm - 11:00 pm'], 'Wed': ['5:00 pm - 11:00 pm'], 'Thu': ['5:00 pm - 11:00 pm'], 'Fri': ['5:00 pm - 12:00 am'], 'Sat': ['10:00 am - 12:00 am'], 'Sun': ['10:00 am - 9:00 pm'], 'Mon 9/4/2017': ['10:00 am - 10:00 pm']}",4.0,874.0,1,2006-12-21 00:00:00,2017-09-03 00:00:00,0,46,92,123,329,264,0.849135294117647,3.627450980392157,0.5762886171677092,-0.0005991393192462338,0.8973248919127071,3.8296334688349986e-05,3.624370753629576,-0.00017442248599570392,0.5903176571197557,71.16666666666667,3.788056206088993,b/t Eastwood Ave & Wilson Ave,5:00 pm - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 12:00 am,10:00 am - 12:00 am,10:00 am - 9:00 pm,,,,,,,,$$,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Casual,Street,Full Bar,Average,No,90%,4,4600 N Lincoln Ave,"Chicago, IL 60625"
